,data_year,pub_agency_name,agency_type_name,state_name,division_name,county_name,region_name,population_group_desc,offense_name,offender_race,offender_ethnicity,offender_age,offender_sex,victim_type_name,location_name,weapon_name,prop_desc_name,stolen_value,recovered_value,date_recovered
16,2021,Lee,County,Alabama,East South Central,LEE,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Credit/ Debit cards,0.0,0,2021-10-26
45,2021,Berkeley,County,West Virginia,South Atlantic,BERKELEY,South,"MSA counties 100,000 or over",All Other Larceny,White,Not Specified,32.0,M,Individual,Other/Unknown,Unknown,Other,5000.0,5000,2021-11-29
51,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,White,Not Hispanic or Latino,16.0,F,Individual,Residence/Home,Unknown,Automobile,12000.0,12000,2021-10-17
54,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,White,Not Hispanic or Latino,52.0,M,Individual,Residence/Home,Unknown,Automobile,11000.0,11000,2021-09-24
75,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Automobile,20000.0,20000,2021-12-31
93,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Business,Hotel/Motel/Etc.,Unknown,Trucks,15000.0,15000,2021-10-28
97,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Business,Parking/Drop Lot/Garage,Unknown,Trucks,15000.0,15000,2021-10-28
101,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Burglary/Breaking & Entering,Unknown,Unknown,0.0,U,Individual,Hotel/Motel/Etc.,Unknown,Trucks,15000.0,15000,2021-10-28
105,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Trucks,15000.0,15000,2021-10-28
115,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Theft From Building,Unknown,Unknown,99.0,U,Individual,Commercial/Office Building,Unknown,Portable Electronic Communications,450.0,450,2021-09-27
116,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",Theft From Building,Unknown,Unknown,99.0,U,Individual,Commercial/Office Building,Unknown,Credit/ Debit cards,0.0,0,2021-09-27
117,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",All Other Larceny,Unknown,Unknown,99.0,U,Individual,Commercial/Office Building,Unknown,Portable Electronic Communications,450.0,450,2021-09-27
118,2021,Mobile,City,Alabama,East South Central,MOBILE,South,"Cities from 100,000 thru 249,999",All Other Larceny,Unknown,Unknown,99.0,U,Individual,Commercial/Office Building,Unknown,Credit/ Debit cards,0.0,0,2021-09-27
136,2021,Ward,County,Texas,West South Central,WARD,South,"Non-MSA counties under 10,000",Motor Vehicle Theft,White,Hispanic or Latino,26.0,M,Individual,Residence/Home,Unknown,Trucks,30000.0,30000,2021-11-01
137,2021,Prairie View ,City,Texas,West South Central,WALLER,South,"Cities from 2,500 thru 9,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Other Motor Vehicles,4000.0,4000,2021-07-13
142,2021,Lake Jackson,City,Texas,West South Central,BRAZORIA,South,"Cities from 25,000 thru 49,999",All Other Larceny,Unknown,Unknown,0.0,U,Business,Highway/Road/Alley/Street/Sidewalk,Unknown,Other,50.0,50,2021-11-25
143,2021,Fairfield,City,Texas,West South Central,FREESTONE,South,"Cities from 2,500 thru 9,999",All Other Larceny,White,Hispanic or Latino,61.0,M,Individual,Other/Unknown,Unknown,Trailers,22000.0,22000,2021-03-12
151,2021,Kingsville,City,Texas,West South Central,KLEBERG,South,"Cities from 10,000 thru 24,999",All Other Larceny,Black or African American,Not Hispanic or Latino,18.0,M,Business,Other/Unknown,Unknown,Other,185.0,185,2022-01-01
152,2021,Kingsville,City,Texas,West South Central,KLEBERG,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Hispanic or Latino,36.0,M,Business,Grocery/Supermarket,Unknown,Consumable Goods,563.0,563,2021-12-14
167,2021,Matagorda,County,Texas,West South Central,MATAGORDA,South,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Unknown,47.0,M,Individual,Commercial/Office Building,Unknown,Other,25.0,25,2021-11-25
196,2021,Parsippany-Troy Hills Township,City,New Jersey,Middle Atlantic,MORRIS,Northeast,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Business,Parking/Drop Lot/Garage,Unknown,Automobile,3500.0,3500,2021-06-17
211,2021,Gastonia,City,North Carolina,South Atlantic,GASTON,South,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Other/Unknown,Unknown,Automobile,10000.0,10000,2021-12-24
224,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,White,Not Hispanic or Latino,31.0,M,Individual,Convenience Store,Unknown,Other,1.0,1,2021-05-10
225,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,White,Not Hispanic or Latino,31.0,M,Individual,Convenience Store,Unknown,Buses,1000.0,1000,2021-05-10
226,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Convenience Store,Unknown,Other,1.0,1,2021-05-10
227,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Convenience Store,Unknown,Buses,1000.0,1000,2021-05-10
228,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,Black or African American,Unknown,16.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Other,50.0,50,2021-05-31
229,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,White,Unknown,14.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Other,50.0,50,2021-05-31
230,2021,Vanderburgh,County,Indiana,East North Central,VANDERBURGH,Midwest,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,Black or African American,Not Hispanic or Latino,18.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Other,50.0,50,2021-05-31
232,2021,Dallas,City,Texas,West South Central,"COLLIN, DALLAS, DENTON",South,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Not Specified,0.0,U,Business,Commercial/Office Building,Unknown,Trailers,6000.0,6000,2021-04-12
233,2021,Dallas,City,Texas,West South Central,"COLLIN, DALLAS, DENTON",South,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Not Specified,0.0,U,Business,Commercial/Office Building,Unknown,Other,5000.0,5000,2021-04-12
347,2021,Columbus,City,Ohio,East North Central,"DELAWARE, FAIRFIELD, FRANKLIN",Midwest,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,Black or African American,Not Specified,50.0,M,Individual,Residence/Home,Unknown,Office Equipment,800.0,800,2021-03-25
