state_name,population_group_code,offense_code,victim_type_code,location_code,prop_desc_code,stolen_value,recovered_value,recovery_rate,PC 1,PC 2,PC 3,Class
Alabama,9B,23H,I,20,9,0.0,0,0.0,-1.1555357217129996,0.09092098389527933,0.30431111117546156,1
West Virginia,9A,23H,I,25,77,5000.0,5000,1.0,-0.627991081388309,-0.8466979621514955,0.2453412170893569,1
Alabama,2,240,I,20,3,12000.0,12000,1.0,-0.8402560840735996,2.1880964220372183,0.3845733727931314,1
Alabama,2,240,I,20,3,11000.0,11000,1.0,-0.8427156452660148,2.186487849148111,0.37859598897845465,1
Alabama,2,240,I,18,3,20000.0,20000,1.0,-0.8098313346033398,2.201121009044157,0.43567208885821473,1
Alabama,2,220,B,14,37,15000.0,15000,1.0,1.3613484645844325,-0.10304178107437743,0.06208790307295898,3
Alabama,2,240,B,18,37,15000.0,15000,1.0,1.6167672897080625,1.303655370551158,0.09945464320720376,0
Alabama,2,220,I,14,37,15000.0,15000,1.0,-0.9143112524910135,0.5264090914516191,0.36828863576259685,1
Alabama,2,240,I,18,37,15000.0,15000,1.0,-0.6588924273673851,1.9331062430771517,0.4056553758968444,1
Alabama,2,23D,I,5,75,450.0,450,1.0,-0.5899162157973098,-0.023866707855942963,0.44591400822555793,1
Alabama,2,23D,I,5,9,0.0,0,0.0,-0.9783335141824995,0.4499908515916886,0.4319080968939825,1
Alabama,2,23H,I,5,75,450.0,450,1.0,-0.18546846595076705,0.09300977224853128,0.2800301530907618,1
Alabama,2,23H,I,5,9,0.0,0,0.0,-0.5738857643359568,0.5668673316961625,0.2660242417591861,1
Texas,8D,240,I,20,37,30000.0,30000,1.0,0.09770313975273381,1.8200094761434107,0.14160110286087244,0
Texas,6,240,I,20,24,4000.0,4000,1.0,0.04901723954633593,1.4720003718091588,-0.23761109244832307,1
Texas,4,23H,B,13,77,50.0,50,1.0,2.6245982144205025,-1.0004521081376883,-0.5762902274375169,3
Texas,6,23H,I,25,78,22000.0,22000,1.0,0.5825828551976587,-0.43948080489149804,-0.1982503614945676,3
Texas,5,23H,B,25,77,185.0,185,1.0,2.8791358382988244,-1.3537571331662306,-0.7006023310182535,3
Texas,5,23H,B,12,8,563.0,563,1.0,2.618654735784066,-0.8245450318604209,-0.6767617786319614,3
Texas,8C,220,I,5,77,25.0,25,1.0,-0.1795418444328312,-0.09809202457561848,-0.19542690417741507,1
New Jersey,3,240,B,18,3,3500.0,3500,1.0,1.5398116805238293,-0.14698957379396557,0.0212080082080138,3
North Carolina,3,240,I,25,3,10000.0,10000,1.0,-1.2302837208898045,0.6242998060948064,0.13904206013153184,1
Indiana,9B,240,I,7,77,1.0,1,1.0,-0.6189644204419222,0.7639687715324911,0.3317844721361444,1
Indiana,9B,240,I,7,5,1000.0,1000,1.0,-0.9621850644066233,1.3161044684826246,0.3380307362123002,1
