state_name,population_group_code,offense_code,victim_type_code,location_code,prop_desc_code,stolen_value,recovered_value,recovery_rate,PC 1,PC 2,PC 3,Class
West Virginia,9A,23H,I,25,77,5000.0,5000,1.0,-0.5565524408635731,0.22060565223589615,1.0268028186555893,2
Alabama,2,240,I,20,3,12000.0,12000,1.0,-0.278799521024402,1.3418466401310847,-1.9499004536658824,2
Alabama,2,240,I,20,3,11000.0,11000,1.0,-0.2911697930135374,1.333870750512564,-1.9516898041803916,2
Alabama,2,240,I,18,3,20000.0,20000,1.0,-0.17078627857890305,1.400620417735032,-1.9359594461527752,2
Alabama,2,220,B,14,37,15000.0,15000,1.0,0.8853903741765465,-1.013388140203497,-0.13321373684969315,0
Alabama,2,240,B,18,37,15000.0,15000,1.0,1.2711635255326277,-0.6903270711151481,-1.4695584737151073,1
Alabama,2,220,I,14,37,15000.0,15000,1.0,-0.532861738088338,0.836225310887943,-0.37987219821024193,2
Alabama,2,240,I,18,37,15000.0,15000,1.0,-0.14708858673225525,1.1592863799763007,-1.7162169350756467,2
Alabama,2,23D,I,5,75,450.0,450,1.0,-0.4859113360918691,0.348093087966248,0.08610495984601654,2
Alabama,2,23H,I,5,75,450.0,450,1.0,-0.19814419956601054,0.04760350430505789,-0.08901644659542214,2
Texas,8D,240,I,20,37,30000.0,30000,1.0,0.32650845987136146,0.6375628226850344,-1.6762653312694016,1
Texas,6,240,I,20,24,4000.0,4000,1.0,0.03902373828160076,0.26953742988663776,-1.4625261310374127,2
Texas,4,23H,B,13,77,50.0,50,1.0,1.3984726253742754,-2.4615716228466935,0.4732307718214242,0
Texas,6,23H,I,25,78,22000.0,22000,1.0,0.3494192572159621,-0.6320323444458564,0.3339003631283445,0
Texas,5,23H,B,25,77,185.0,185,1.0,1.4730796992082507,-2.846236891815987,0.7291489730710919,0
Texas,5,23H,B,12,8,563.0,563,1.0,1.3629733423143857,-2.4671043969556523,0.263290987533747,0
Texas,8C,220,I,5,77,25.0,25,1.0,-0.3525286149161929,-0.11882289942517217,0.10247274934361704,2
New Jersey,3,240,B,18,3,3500.0,3500,1.0,1.079162068894012,-0.956964087155572,-0.11566261065127514,0
North Carolina,3,240,I,25,3,10000.0,10000,1.0,-0.7402937717397027,1.1855166953708758,-0.41538575076154177,2
Indiana,9B,240,I,7,77,1.0,1,1.0,-0.3751584670239067,0.7432949597959969,-0.5402504619868923,2
Indiana,9B,240,I,7,5,1000.0,1000,1.0,-0.54396326321988,1.1778725928178055,-1.0227460473751468,2
Indiana,9B,23F,I,18,77,50.0,50,1.0,-0.8666054682500476,0.7139500314297194,0.6927013887129994,2
Texas,1A,240,B,5,78,6000.0,6000,1.0,2.323319626815009,-2.3249412889342542,-3.037688066039759,1
Texas,1A,240,B,5,77,5000.0,5000,1.0,2.308433206243751,-2.3269920435626035,-3.046203571367492,1
Ohio,1B,240,I,20,23,800.0,800,1.0,-0.6043036936818332,0.8650683775070732,-1.2550181329710632,2
Ohio,1B,240,I,20,3,20000.0,20000,1.0,-0.417117443133049,1.1367081579863907,-1.3551856993570117,2
South Carolina,9B,240,I,13,3,10000.0,10000,1.0,-0.571895704580539,1.3866348720318564,-1.0423164024618299,2
South Carolina,9B,240,S,13,3,10000.0,10000,1.0,0.14014546975055608,0.17374814591246732,-0.528853532112551,2
West Virginia,9C,240,I,20,3,6000.0,5500,0.9166666666666666,-0.8906003232973854,1.3326377254989568,-1.0457961058563352,2
West Virginia,9C,23H,I,20,3,6000.0,5500,0.9166666666666666,-0.9161140572710731,0.5948758791419323,0.35427522762667313,2
Georgia,2,23F,I,20,77,300.0,300,1.0,-0.733908087378728,0.78216314828516,-0.03179678412195834,2
Georgia,2,240,I,20,3,21500.0,21500,1.0,-0.21558103766143075,1.4471311108223426,-1.72240630060146,2
Missouri,6,220,I,19,72,200.0,200,1.0,-0.9734478771653242,0.16900022364456083,1.3078717427734372,2
Missouri,6,220,I,19,45,100.0,100,1.0,-1.0426209160816553,0.32818127941754544,1.1260866277648929,2
Missouri,6,220,I,19,36,185.0,185,1.0,-1.0642147802017192,0.382185444946733,1.0657033292395952,2
Nebraska,4,120,I,20,20,500.0,500,1.0,-1.325868300545163,1.0579826526365954,-0.12151470662581322,2
Missouri,8C,220,B,5,3,14000.0,11700,0.8357142857142857,0.34849202303109866,-0.894851239646923,0.9895988507497339,0
Missouri,8C,240,B,5,3,14000.0,11700,0.8357142857142857,0.7523673074520973,-0.581856849247132,-0.3474934793216004,0
Mississippi,5,240,I,20,3,9425.0,9425,1.0,-0.7102321630767343,1.0197246676621239,-0.1849171617434754,2
Nevada,1A,23H,O,47,25,2295.0,2295,1.0,0.9728618019345343,-1.7019768499762922,-3.6097318695407985,1
Nevada,1A,240,B,5,37,45000.0,45000,1.0,2.40937477496113,-1.2907844494713978,-4.736841400036444,1
Nevada,1A,23H,B,6,43,2500.0,2500,1.0,1.8686958396759026,-2.4005557448847883,-3.3722736362392176,1
California,9A,26F,I,24,3,80000.0,80000,1.0,0.3432994525847548,2.2090952892547087,-1.1585224942683476,2
California,9A,240,I,20,3,80000.0,80000,1.0,0.5213811759850797,2.303782790833532,-1.9059626699925902,2
Tennessee,8B,23H,I,6,43,4260.0,4260,1.0,-0.20728351369185574,-0.27040416534995565,0.9340901510145488,2
Nevada,1A,240,I,20,3,2000.0,2000,1.0,0.3057689163778698,0.45507038277155676,-5.286327722648305,1
Nevada,1A,220,I,20,3,15000.0,15000,1.0,0.0627071678155737,0.24576255741262834,-3.9259738358883545,1
Nevada,1A,240,I,20,3,15000.0,15000,1.0,0.46658245223657274,0.5587569478124189,-5.263066165959692,1
Nevada,1A,240,I,13,3,2000.0,2000,1.0,0.337447649241474,0.4374536950665715,-5.287636010758674,1
Alabama,4,240,I,4,3,7000.0,7000,1.0,-0.7232791076081412,1.4483862581847655,-1.276315947853002,2
Pennsylvania,5,23H,I,20,20,900.0,900,1.0,-0.7924736789930715,0.022397857540820347,0.5591428114653958,2
Tennessee,1B,220,B,45,26,866.0,866,1.0,1.0179736277058826,-2.1187483681653343,1.003375693074059,0
Tennessee,1B,220,B,1,26,30000.0,30000,1.0,1.5774925955513117,-1.9971122655933402,1.0472831056985688,0
Texas,5,240,I,5,78,13000.0,13000,1.0,0.33189317036448024,-0.21290909733907645,-0.8916621061454297,2
Texas,5,240,I,5,37,16000.0,16000,1.0,0.265841894464683,0.05394910611385277,-1.1620664019441564,2
Tennessee,1B,220,B,1,76,26000.0,24000,0.9230769230769231,1.639885539737704,-2.332015033830466,1.3735442664927007,0
Tennessee,1B,220,B,18,26,400.0,400,1.0,1.134398479147135,-2.19041521387537,0.9974956015942984,0
Iowa,3,240,I,20,3,1.0,1,1.0,-0.7794933286612605,1.3698667120612988,-0.9502452920955345,2
California,1A,220,I,14,25,100.0,100,1.0,-0.25004409884176126,0.5072032711023594,-2.584014060062029,1
California,1A,220,I,14,6,200.0,200,1.0,-0.2966138947032532,0.6205784248776164,-2.7116320664618674,1
Arkansas,5,23H,B,5,78,12000.0,12000,1.0,1.0474047436662202,-2.125292232032783,1.707667530618275,0
North Carolina,8C,240,I,20,3,1200.0,1200,1.0,-1.0498100938606527,1.4773742052734793,-0.690208216175002,2
Ohio,3,240,B,23,3,53900.0,53900,1.0,1.2786943026678943,-0.26575393403115566,-0.7117167635020674,0
South Carolina,7,240,I,52,36,1500.0,1500,1.0,-0.552565751597154,0.7789110385746956,-0.7847525337422145,2
South Carolina,7,240,I,52,7,1000.0,1000,1.0,-0.6317191964733913,0.9467520084806279,-0.9807056985830138,2
South Carolina,7,240,I,52,3,22000.0,22000,1.0,-0.38200807903014483,1.1379462304304282,-0.9700339570312356,2
South Carolina,7,23H,I,52,36,1500.0,1500,1.0,-0.5780794855708419,0.04114919221767148,0.6153187997407936,2
South Carolina,7,23H,I,52,7,1000.0,1000,1.0,-0.6572329304470789,0.20899016212360338,0.4193656348999941,2
South Carolina,7,23H,I,52,3,22000.0,22000,1.0,-0.4075218130038328,0.40018438407340445,0.4300373764517722,2
Ohio,1B,23H,I,53,78,2500.0,2500,1.0,-0.6197423910425989,-0.10196678177766175,0.5242012550629094,2
New Mexico,9B,240,I,20,28,5000.0,5000,1.0,-0.6275341200858132,1.1904807157824728,-0.7655487446852477,2
Nevada,1A,240,I,21,3,2500.0,2500,1.0,0.3074285191062055,0.46157499725296164,-5.28524614908957,1
Nevada,1A,240,I,13,78,2000.0,2000,1.0,0.5261587929009691,-0.006931429196865845,-4.783174399766749,1
Nevada,1A,240,I,13,24,9000.0,9000,1.0,0.4768786733900498,0.36885708760250435,-5.133861306079373,1
Ohio,9B,240,I,7,3,40000.0,40000,1.0,-0.3618513298705247,1.838815006606019,-1.2806115504259823,2
California,2,220,I,20,77,166.0,4,0.024096385542168676,-0.49140124304895677,0.6721082518964756,-0.8037729078001531,2
California,2,220,I,20,16,100.0,100,1.0,-0.6318156112002893,1.0114732864537672,-1.2022245864404262,2
North Carolina,9A,220,I,20,13,3000.0,600,0.2,-1.1933229346749226,1.1171428832442591,0.6572243590506601,2
New Jersey,1C,240,I,13,3,26000.0,15000,0.5769230769230769,-0.43821592274011434,1.584617641045081,-1.1746107394737482,2
Georgia,1B,240,I,20,3,1.0,1,1.0,-0.5753472789173424,1.0071964329088738,-1.2123836614043757,2
Maryland,9A,220,I,20,3,5000.0,5000,1.0,-1.0007560794300607,1.3653918052518523,0.4070344918262193,2
Maryland,9A,240,I,20,3,5000.0,5000,1.0,-0.596880795009063,1.6783861956516437,-0.9300578382451148,2
Georgia,1B,23F,I,18,7,1.0,1,1.0,-0.9985038966814648,0.9210434402527415,0.04495545245394859,2
South Carolina,7,26B,I,23,25,15.0,15,1.0,-0.8620499192815094,0.5131807351808065,0.0790735334084253,2
South Carolina,7,23H,I,18,25,15.0,15,1.0,-0.4702588428263018,0.008914712173340947,0.5323193690308959,2
South Carolina,7,23F,I,18,25,15.0,15,1.0,-0.8870173874777005,0.6892574451792307,0.3630563267562727,2
California,9A,23F,I,20,77,140.0,100,0.7142857142857143,-0.7266037568686835,1.1772874626833065,-0.3238112409922341,2
North Carolina,9A,240,I,20,3,8000.0,8000,1.0,-0.7267261961279953,1.5212386813757377,-0.7261564733727255,2
North Carolina,5,23H,B,9,77,667.0,667,1.0,0.6898368636847976,-2.0850382181323903,1.7642619265500263,0
North Carolina,5,26A,B,24,77,3500.0,3500,1.0,0.5339667366921967,-1.847002535326596,1.7812905552073348,0
North Carolina,5,240,I,20,24,1000.0,1000,1.0,-0.8819189548152481,0.8467085714320957,-0.2363023383568522,2
Illinois,5,23H,B,25,78,20000.0,1,5e-05,0.8159046266944666,-1.882147127327733,1.5331203104059274,0
North Carolina,1C,220,B,24,23,2450.0,490,0.2,-0.11110387372316839,-0.5862526237942917,0.4418712051474613,0
North Carolina,1C,23D,B,41,77,5.0,5,1.0,0.031372082154907596,-1.017103669222253,1.0535816365525086,0
North Carolina,1C,23D,I,41,77,5.0,5,1.0,-1.3868800301099762,0.8325097818691948,0.8069231751919707,2
New Jersey,3,240,I,20,3,35000.0,35000,1.0,0.04152245775429884,1.1489232262637838,-0.3055827342018292,2
North Carolina,3,26A,B,5,3,23995.0,23995,1.0,0.7930451198195945,-1.162879477874723,1.2618039626304063,0
California,9A,240,I,18,3,30000.0,30000,1.0,-0.0880813569390147,1.8999549705628582,-1.9958039923209838,2
